fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Acc,career_TD_Def,career_Sub_Avg
Juan Alcain,NA,NA,NA,NA,NA,1,33%,2,67%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Iuri Alcantara,175.26,135.0,180.34,Southpaw,1980-08-04,35,76%,10,22%,0,0%,1,2%,2.72,45%,2.79,49%,62%,NA,0.8
Ildemar Alcantara,187.96,185.0,198.12,Orthodox,1982-11-18,21,66%,11,34%,0,0%,0,0%,1.93,38%,2.63,NA,68%,81%,0.9
Alfonso Alcarez,160.02,145.0,NA,NA,1970-06-10,1,20%,3,60%,1,20%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Gilbert Aldana,185.42,250.0,NA,Orthodox,1977-08-25,6,75%,2,25%,0,0%,0,0%,2.91,54%,6.26,26%,NA,33%,0.0
Irene Aldana,175.26,135.0,172.72,Orthodox,1988-03-26,15,65%,8,35%,0,0%,0,0%,5.19,39%,6.64,56%,NA,77%,0.2
Hector Aldana,180.34,170.0,182.88,Orthodox,1988-08-17,4,57%,3,43%,0,0%,0,0%,3.59,38%,5.08,59%,NA,NA,0.0
Jose Alday,170.18,135.0,172.72,Orthodox,1991-09-14,14,67%,6,29%,1,5%,0,0%,3.13,44%,3.13,58%,NA,57%,0.0
Jose Aldo,170.18,135.0,177.8,Orthodox,1986-09-09,32,78%,9,22%,0,0%,0,0%,3.62,46%,3.72,NA,53%,92%,0.1
JJ Aldrich,165.1,125.0,170.18,Southpaw,1992-09-29,13,65%,7,35%,0,0%,0,0%,3.88,46%,4.38,NA,23%,66%,0.0
Irina Alekseeva,172.72,135.0,170.18,Orthodox,1990-06-27,5,71%,2,29%,0,0%,0,0%,3.84,43%,3.55,48%,NA,NA,0.9
Talita Alencar,154.94,115.0,147.32,Orthodox,1990-10-17,5,71%,1,14%,1,14%,0,0%,2.49,28%,4.8,52%,13%,NA,0.0
Jim Alers,175.26,145.0,180.34,Orthodox,1986-10-14,13,76%,3,18%,0,0%,1,6%,2.9,NA,4.38,56%,41%,NA,0.3
John Alessio,177.8,155.0,182.88,Orthodox,1979-07-05,35,65%,17,31%,0,0%,2,4%,2.1,39%,2.91,54%,38%,NA,1.2
Houston Alexander,182.88,205.0,182.88,Orthodox,1972-03-22,17,49%,15,43%,1,3%,2,6%,3.06,54%,3.2,52%,57%,33%,0.0
Kenneth Alexander,175.26,155.0,NA,Orthodox,1977-09-25,7,50%,6,43%,0,0%,1,7%,0.88,19%,2.2,66%,26%,NA,0.0
Lucas Alexander,180.34,145.0,185.42,Orthodox,1995-07-28,8,67%,4,33%,0,0%,0,0%,5.23,55%,1.83,71%,NA,57%,0.0
Marcio Alexandre Junior,182.88,185.0,190.5,Southpaw,1989-05-05,17,81%,4,19%,0,0%,0,0%,1.61,45%,2.89,42%,NA,66%,0.7
Olaf Alfonso,187.96,170.0,NA,Orthodox,1974-08-06,8,40%,12,60%,0,0%,0,0%,1.65,38%,4.77,53%,7%,22%,0.7
Pablo Alfonso,172.72,145.0,NA,NA,1983-05-09,9,56%,7,44%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Levi Alford,NA,NA,NA,NA,NA,1,12%,7,88%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Bill Algeo,182.88,145.0,185.42,Switch,1989-06-09,18,67%,9,33%,0,0%,0,0%,5.88,51%,4.38,47%,NA,55%,0.1
Royce Alger,177.8,199.0,NA,Orthodox,NA,3,60%,2,40%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Amir Aliakbari,190.5,250.0,NA,NA,1984-06-10,10,91%,1,9%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Sultan Aliev,180.34,170.0,187.96,Orthodox,1984-09-17,15,83%,3,17%,0,0%,0,0%,1.41,45%,2.2,56%,38%,NA,0.0
Nurullo Aliev,177.8,155.0,182.88,Orthodox,2000-12-08,10,100%,0,0%,0,0%,0,0%,2.43,45%,1.07,58%,54%,NA,0.0
Ikram Aliskerov,182.88,185.0,193.04,Southpaw,1992-12-07,15,88%,2,12%,0,0%,0,0%,7.03,NA,7.27,36%,33%,NA,1.8
Leon Aliu,182.88,185.0,187.96,Orthodox,1989-07-14,10,83%,2,17%,0,0%,0,0%,6.32,NA,10.11,38%,NA,NA,0.0
John Allan,185.42,205.0,190.5,Orthodox,1993-02-22,13,62%,7,33%,0,0%,1,5%,3.56,42%,5.74,52%,71%,NA,0.8
George Allen,187.96,205.0,NA,Open Stance,1967-01-13,13,38%,19,56%,2,6%,0,0%,0.8,38%,3.1,43%,NA,NA,0.0
Arnold Allen,172.72,145.0,177.8,Southpaw,1994-01-22,20,87%,3,13%,0,0%,0,0%,3.45,41%,2.88,61%,47%,75%,0.3
Brendan Allen,187.96,185.0,190.5,Orthodox,1995-12-28,24,80%,6,20%,0,0%,0,0%,3.79,53%,3.83,46%,39%,58%,1.3
Daniel Allen,182.88,155.0,190.5,Southpaw,1992-08-10,5,100%,0,0%,0,0%,0,0%,7.6,51%,5.87,53%,66%,NA,0.0
Ben Alloway,180.34,170.0,193.04,Orthodox,1981-02-19,18,69%,8,31%,0,0%,0,0%,1.28,49%,1.9,59%,NA,26%,0.0
Asu Almabayev,162.56,125.0,165.1,Orthodox,1994-01-25,21,91%,2,9%,0,0%,0,0%,2.11,56%,1.02,59%,NA,NA,1.7
Bekzat Almakhan,170.18,135.0,172.72,Orthodox,1997-10-08,11,85%,2,15%,0,0%,0,0%,0.2,18%,4.53,NA,NA,NA,0.0
John Dave Almanza,170.18,125.0,170.18,Southpaw,2004-03-22,6,86%,1,14%,0,0%,0,0%,1.92,41%,5.75,27%,NA,NA,0.0
Ricardo Almeida,182.88,170.0,187.96,Orthodox,1976-11-29,13,72%,5,28%,0,0%,0,0%,2.02,49%,1.2,61%,38%,31%,1.2
Magno Almeida,182.88,155.0,NA,NA,1985-06-06,10,71%,3,21%,0,0%,1,7%,1.67,36%,2.6,41%,NA,NA,5.0
Thomas Almeida,170.18,145.0,177.8,Southpaw,1991-07-31,22,81%,5,19%,0,0%,0,0%,4.84,43%,4.93,61%,14%,75%,0.0
Ericka Almeida,167.64,115.0,NA,Orthodox,1989-03-05,7,70%,3,30%,0,0%,0,0%,1.07,39%,3.33,43%,33%,37%,0.0
Estefani Almeida,162.56,125.0,NA,Orthodox,1988-10-17,7,70%,3,30%,0,0%,0,0%,3.13,37%,6.07,42%,NA,NA,0.0
Jailton Almeida,190.5,205.0,200.66,Orthodox,1991-06-26,21,88%,3,12%,0,0%,0,0%,2.46,64%,0.72,NA,59%,75%,2.6
Lucas Almeida,180.34,145.0,180.34,Orthodox,1991-01-31,15,83%,3,17%,0,0%,0,0%,4.94,43%,4.92,46%,NA,NA,0.0
Cesar Almeida,185.42,185.0,187.96,Orthodox,1988-03-28,7,88%,1,12%,0,0%,0,0%,4.16,58%,2.32,48%,NA,NA,0.3
Mauricio Alonso,187.96,170.0,NA,NA,1980-02-27,13,62%,7,33%,0,0%,1,5%,5.74,34%,1.91,67%,NA,NA,0.0
Sarah Alpar,162.56,135.0,160.02,Southpaw,1991-06-01,9,60%,6,40%,0,0%,0,0%,2.36,44%,6.06,38%,26%,NA,0.4
Ali AlQaisi,167.64,135.0,172.72,Orthodox,1990-09-23,8,62%,5,38%,0,0%,0,0%,2.43,42%,1.97,56%,29%,NA,1.0
Rico Altamirano,177.8,170.0,NA,NA,NA,4,57%,3,43%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Victor Altamirano,172.72,125.0,177.8,Switch,1991-01-23,12,71%,5,29%,0,0%,0,0%,4.58,53%,3.82,53%,38%,63%,0.0
Mike Altman,177.8,185.0,NA,Orthodox,NA,1,20%,4,80%,0,0%,0,0%,1.56,NA,2.08,75%,NA,NA,0.0
Patricia Alujas,162.56,115.0,162.56,Orthodox,1996-05-08,9,75%,3,25%,0,0%,0,0%,5.83,31%,9.25,44%,NA,NA,0.0
Sean Alvarez,182.88,235.0,NA,Orthodox,1971-07-14,4,57%,3,43%,0,0%,0,0%,0.89,37%,3.25,47%,NA,NA,0.0
Eddie Alvarez,175.26,155.0,175.26,Orthodox,1984-01-11,29,81%,6,17%,0,0%,1,3%,4.32,41%,4.39,55%,36%,92%,0.5
Jaime Alvarez,172.72,125.0,175.26,Orthodox,1988-03-08,6,86%,1,14%,0,0%,0,0%,2.73,NA,4.53,56%,33%,NA,0.0
Joel Alvarez,190.5,155.0,195.58,Orthodox,1993-03-02,22,88%,3,12%,0,0%,0,0%,4.51,53%,3.32,NA,NA,NA,1.2
Thiago Alves,175.26,170.0,177.8,Orthodox,1983-10-03,23,61%,15,39%,0,0%,0,0%,3.73,41%,3.42,62%,NA,63%,0.3
Anthony Alves,NA,NA,NA,NA,NA,1,20%,4,80%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Amilcar Alves,182.88,170.0,NA,Southpaw,1988-08-08,15,56%,12,44%,0,0%,0,0%,0.5,46%,2.02,NA,NA,53%,0.0
Warlley Alves,180.34,185.0,182.88,Orthodox,1991-01-04,15,65%,8,35%,0,0%,0,0%,3.04,48%,3.95,NA,NA,62%,0.8
Rafael Alves,172.72,155.0,172.72,Orthodox,1990-11-14,20,62%,12,38%,0,0%,0,0%,1.85,48%,3.3,58%,25%,44%,1.5
Sam Alvey,187.96,185.0,190.5,Southpaw,1986-05-06,33,62%,18,34%,1,2%,1,2%,3.28,44%,3.63,52%,14%,82%,0.1
Andre Amado,182.88,154.0,NA,Orthodox,NA,6,55%,4,36%,1,9%,0,0%,2.27,24%,5.91,63%,NA,NA,0.0
Adlan Amagov,187.96,170.0,193.04,Orthodox,1986-10-30,14,82%,2,12%,1,6%,0,0%,3.29,47%,0.82,78%,56%,NA,0.0
Maiara Amanajas dos Santos,165.1,115.0,NA,Southpaw,1987-07-11,7,70%,3,30%,0,0%,0,0%,5.53,35%,24.47,33%,NA,NA,0.0
Chris Amarante,NA,185.0,NA,NA,NA,2,100%,0,0%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Jimmy Ambriz,187.96,315.0,NA,Southpaw,1970-01-26,17,44%,21,54%,1,3%,0,0%,0.83,29%,3.76,NA,57%,NA,0.8
JJ Ambrose,177.8,170.0,NA,Orthodox,NA,28,76%,7,19%,0,0%,2,5%,3.16,69%,6.32,33%,NA,NA,0.0
Alen Amedovski,177.8,185.0,187.96,Orthodox,1988-04-06,8,67%,4,33%,0,0%,0,0%,0.99,NA,3.85,46%,NA,NA,0.0
Hyder Amil,175.26,145.0,177.8,Switch,1990-05-28,10,100%,0,0%,0,0%,0,0%,6.31,57%,2.23,61%,33%,78%,1.9
Hamid Amiri,NA,145.0,NA,NA,2003-06-15,9,100%,0,0%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Makwan Amirkhani,177.8,145.0,182.88,Southpaw,1988-11-08,17,65%,9,35%,0,0%,0,0%,1.33,44%,2.98,46%,43%,35%,1.1
Jaqueline Amorim,160.02,115.0,172.72,Orthodox,1995-06-24,9,90%,1,10%,0,0%,0,0%,3.05,52%,1.72,63%,28%,NA,5.3
Bertrand Amoussou,172.72,190.0,NA,Orthodox,NA,1,50%,1,50%,0,0%,0,0%,6.75,39%,2.01,83%,NA,NA,0.0
Karl Amoussou,180.34,185.0,NA,Orthodox,1985-11-21,27,75%,7,19%,2,6%,0,0%,1.47,34%,2.67,54%,NA,25%,1.0
Eryk Anders,185.42,185.0,190.5,Southpaw,1987-04-21,17,65%,8,31%,0,0%,1,4%,3.54,48%,4.05,NA,24%,NA,0.1
Matt Andersen,187.96,230.0,NA,Southpaw,1971-05-29,14,61%,8,35%,1,4%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Andy Anderson,167.64,240.0,NA,NA,1974-07-16,0,0%,1,100%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Lowell Anderson,167.64,160.0,NA,Orthodox,NA,0,0%,1,100%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Corey Anderson,190.5,205.0,200.66,Orthodox,1989-09-22,14,74%,5,26%,0,0%,0,0%,4.43,46%,2.22,59%,NA,83%,0.0
Derek Anderson,182.88,155.0,NA,NA,1990-02-02,14,78%,3,17%,0,0%,1,6%,3.97,37%,3.08,61%,14%,NA,0.0
Megan Anderson,182.88,145.0,182.88,Orthodox,1990-02-11,11,69%,5,31%,0,0%,0,0%,1.76,46%,3.35,37%,25%,53%,0.5
Liam Anderson,190.5,185.0,190.5,Orthodox,1995-01-13,6,67%,3,33%,0,0%,0,0%,3.0,52%,6.53,31%,NA,NA,0.0
Tatsuya Ando,162.56,145.0,172.72,Southpaw,1990-04-26,14,74%,4,21%,1,5%,0,0%,0.93,19%,4.93,NA,NA,NA,0.0
Alex Andrade,180.34,200.0,NA,Orthodox,1974-05-14,10,67%,5,33%,0,0%,0,0%,0.2,36%,2.6,53%,NA,25%,0.8
Jessica Andrade,154.94,125.0,157.48,Orthodox,1991-09-25,26,67%,13,33%,0,0%,0,0%,6.44,NA,5.51,54%,54%,72%,0.3
Viscardi Andrade,180.34,170.0,190.5,Orthodox,1984-03-08,19,76%,6,24%,0,0%,0,0%,3.26,42%,2.77,63%,NA,66%,0.3
Jermaine Andre,170.18,200.0,NA,Orthodox,NA,14,78%,4,22%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Juan Andres Luna,170.18,125.0,182.88,Orthodox,1995-08-20,12,92%,1,8%,0,0%,0,0%,3.27,31%,3.0,65%,NA,NA,0.0
Fellipe Andrew,NA,NA,NA,NA,1994-10-24,0,0%,0,0%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Dylan Andrews,185.42,185.0,187.96,Switch,1979-11-15,18,69%,7,27%,0,0%,1,4%,2.21,NA,2.72,46%,NA,57%,0.4
Reese Andy,182.88,205.0,NA,Orthodox,1973-03-31,7,70%,3,30%,0,0%,0,0%,2.87,NA,3.5,58%,NA,NA,0.0
Angga,170.18,145.0,172.72,Orthodox,1989-01-13,13,81%,3,19%,0,0%,0,0%,3.56,38%,3.77,53%,NA,33%,0.0
Julius Anglickas,190.5,205.0,NA,Orthodox,1991-07-23,5,83%,1,17%,0,0%,0,0%,4.62,78%,1.86,NA,NA,NA,1.1
Collin Anglin,175.26,145.0,180.34,Orthodox,1993-02-20,8,73%,3,27%,0,0%,0,0%,4.59,48%,5.54,51%,66%,NA,0.0
Chad Anheliger,167.64,135.0,162.56,Orthodox,1986-12-01,13,62%,8,38%,0,0%,0,0%,3.11,46%,2.76,53%,NA,38%,0.5
Yoji Anjo,180.34,205.0,NA,Orthodox,1967-03-28,0,0%,5,83%,1,17%,0,0%,NA,NA,3.13,25%,NA,NA,0.0
Magomed Ankalaev,190.5,205.0,190.5,Orthodox,1992-06-02,20,87%,1,4%,1,4%,1,4%,3.64,52%,2.37,58%,31%,86%,0.0
Gadzhimurad Antigulov,180.34,205.0,177.8,Orthodox,1987-02-09,20,71%,8,29%,0,0%,0,0%,2.08,55%,4.21,NA,36%,NA,1.4
Adam Antolin,165.1,125.0,160.02,Orthodox,1982-02-28,12,80%,3,20%,0,0%,0,0%,5.73,52%,5.0,69%,NA,NA,0.0
Angelo Antonio,NA,205.0,NA,Orthodox,NA,1,20%,4,80%,0,0%,0,0%,1.09,NA,7.64,NA,NA,NA,0.0
Vanilto Antunes,182.88,170.0,182.88,Orthodox,1994-12-28,16,70%,7,30%,0,0%,0,0%,5.49,48%,14.27,43%,NA,NA,0.0
Azunna Anyanwu,185.42,251.0,NA,Orthodox,1981-08-05,14,74%,5,26%,0,0%,0,0%,2.47,42%,2.47,69%,NA,NA,0.0
Shinsho Anzai,170.18,170.0,177.8,Orthodox,1985-12-01,10,77%,3,23%,0,0%,0,0%,3.23,58%,3.75,45%,16%,75%,0.0
Shinya Aoki,180.34,154.0,NA,Southpaw,1983-05-09,39,83%,7,15%,0,0%,1,2%,0.97,58%,1.25,58%,41%,NA,4.0
Aoriqileng,170.18,135.0,175.26,Orthodox,1993-06-25,25,66%,12,32%,0,0%,1,3%,4.65,49%,5.46,48%,46%,58%,0.0
Josh Appelt,177.8,255.0,NA,Southpaw,1983-06-19,15,68%,7,32%,0,0%,0,0%,1.35,NA,11.5,32%,NA,33%,0.0
Erik Apple,182.88,170.0,NA,Orthodox,1977-08-26,10,77%,3,23%,0,0%,0,0%,NA,NA,0.54,81%,NA,NA,8.1
Kenji Arai,177.8,145.0,NA,Southpaw,1979-10-05,15,43%,15,43%,5,14%,0,0%,8.79,27%,10.29,39%,NA,NA,0.0
Romie Aram,177.8,170.0,NA,Orthodox,1977-12-02,7,88%,1,12%,0,0%,0,0%,1.8,35%,2.83,NA,62%,83%,0.0
Felipe Arantes,172.72,135.0,185.42,Orthodox,1988-02-09,18,58%,10,32%,1,3%,2,6%,2.37,45%,2.66,64%,47%,41%,0.7
Igor Araujo,185.42,170.0,195.58,Orthodox,1980-12-06,25,71%,9,26%,0,0%,1,3%,1.52,42%,2.86,49%,15%,22%,0.6
Viviane Araujo,162.56,125.0,172.72,Orthodox,1986-11-21,13,68%,6,32%,0,0%,0,0%,4.04,47%,4.87,56%,43%,NA,0.7
Julio Arce,170.18,145.0,177.8,Southpaw,1989-10-27,19,76%,6,24%,0,0%,0,0%,4.36,36%,3.05,68%,28%,96%,0.3
Art Arciniega,172.72,145.0,NA,NA,1981-10-15,15,68%,7,32%,0,0%,0,0%,1.53,46%,2.73,51%,NA,NA,1.0
Alice Ardelean,160.02,115.0,157.48,Orthodox,1992-04-19,9,56%,7,44%,0,0%,0,0%,4.97,45%,4.97,52%,NA,NA,0.0
Tristan Arenal,NA,155.0,NA,NA,NA,7,64%,4,36%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Gabriel Arges,NA,170.0,NA,NA,1993-01-29,0,0%,0,0%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Dan Argueta,170.18,135.0,172.72,Southpaw,1993-08-13,9,64%,3,21%,0,0%,2,14%,2.48,43%,3.44,NA,35%,55%,1.4
Reza Arianto,NA,155.0,NA,NA,NA,5,100%,0,0%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Hashem Arkhagha,187.96,185.0,190.5,Orthodox,1989-09-11,6,86%,1,14%,0,0%,0,0%,1.84,44%,8.97,43%,NA,NA,0.0
Andrei Arlovski,190.5,240.0,195.58,Orthodox,1979-02-04,34,57%,24,40%,0,0%,2,3%,3.82,45%,3.22,57%,35%,76%,0.2
Garrett Armfield,167.64,135.0,177.8,Orthodox,1996-10-09,10,67%,5,33%,0,0%,0,0%,5.35,53%,3.64,56%,NA,64%,0.6
Joey Armstrong,NA,NA,NA,NA,NA,5,71%,2,29%,0,0%,0,0%,NA,NA,NA,NA,NA,NA,0.0
Austin Arnett,182.88,145.0,182.88,Orthodox,1991-10-22,16,73%,6,27%,0,0%,0,0%,4.52,41%,6.38,62%,18%,57%,0.2
Ricardo Arona,180.34,205.0,NA,Orthodox,1978-07-17,14,74%,5,26%,0,0%,0,0%,1.66,48%,1.15,57%,48%,58%,1.2
Eli Aronov,177.8,185.0,182.88,Orthodox,1996-06-06,6,86%,1,14%,0,0%,0,0%,8.92,68%,6.49,38%,NA,NA,0.0
Chalid Arrab,180.34,205.0,NA,Orthodox,1975-05-28,7,70%,3,30%,0,0%,0,0%,1.56,34%,1.63,56%,75%,37%,1.0
